Ref Des,Qty,Value / Description,Package / Footprint,Mfr Part #,DigiKey Search Term,DigiKey Category,Suggested Spec,Notes,
R1; R2,2,4.7kΩ,1210 SMD,RC1210FR-074K7L,4.7k 1210 1%,Resistors,1% 1/2W,,
Resistors — footprint unset,,,,,,,,eFuse divider,
R12,1,1kΩ,Unknown — footprint not set,,1k 0603 1%,Resistors,1% 1/10W,eFuse divider,
R16,1,100kΩ,Unknown — footprint not set,,100k 0603 1%,Resistors,1% 1/10W,eFuse divider,
R31,1,13.75kΩ,Unknown — footprint not set,,13.75k 0603 1%,Resistors,1% 1/10W,Voltage divider / pull-up,
R32,1,186.25kΩ,Unknown — footprint not set,,186k 0603 1%,Resistors,1% 1/10W,,
Connectors,,,,,,,,USB power filtering,
J2,1,USB-C Receptacle (GCT USB4105),Top-mount horizontal 16P,USB4105-GF-A,GCT USB4105-GF-A,USB Connectors,USB 2.0 Type-C receptacle,,
J3,1,Barrel Jack (Tensility 54-00130),Horizontal PCB mount,54-00130,Tensility 54-00130 barrel jack,Power Connectors,5.5mm OD / 2.1mm ID,,
ICs,,,,,,,,,
U1,1,TPS16411DRCR,VSON-10 3x3mm,TPS16411DRCR,TPS16411DRCR,eFuse ICs,4.5–18V 2.5A eFuse,Footprint missing in schematic — verify,
U2,1,OXETDLJANF-8MHz,SMD oscillator,OXETDLJANF,OXETDLJANF 8MHz oscillator,Oscillators,8MHz CMOS oscillator,,
U3,1,USBLC6-2SC6,SOT-23-6,USBLC6-2SC6Y,USBLC6-2SC6,ESD Protection,USB ESD protection,1.00mm pitch vertical,Pin headers — 1.0mm pitch (not 2.54mm)
U4; U6,2,TPS560430YQDBVRQ1,SOT-23-6,TPS560430YQDBVRQ1,TPS560430YQDBVRQ1,DC-DC Buck Converters,4.5–17V in / adj out / 600mA,1.00mm pitch vertical,Pin headers — 1.0mm pitch
U7; U8,2,AZ1117IH-3.3,SOT-223-3,AZ1117IH-3.3TRE1,AZ1117IH-3.3,LDO Regulators,3.3V output 800mA LDO,,
U13,1,STM32G491VETx,LQFP-100 14x14mm 0.5mm pitch,STM32G491VETx,STM32G491VETx,Microcontrollers,STM32G4 series MCU,Phoenix screw terminal,
